 A16905_26L_model                                                                 REF PER =   1.0 SECS


  LEVEL    RADIUS        RHO         VPV         VPH         VSV         VSH         ETA         QMU         QKAP
   213   5192374.0     4682.79    11745.15    11745.15     6508.21     6508.21     1.00000      312.00    57823.00
   214   5218345.0     4668.07    11705.63    11705.63     6492.58     6492.58     1.00000      312.00    57823.00
   215   5244252.0     4653.31    11665.75    11665.75     6476.81     6476.81     1.00000      312.00    57823.00
   216   5270095.0     4638.52    11625.49    11625.49     6460.90     6460.90     1.00000      312.00    57823.00
   217   5295875.0     4623.70    11584.85    11584.85     6444.84     6444.84     1.00000      312.00    57823.00
   218   5321589.0     4608.85    11543.83    11543.83     6428.64     6428.64     1.00000      312.00    57823.00
   219   5347238.0     4593.96    11502.41    11502.41     6412.29     6412.29     1.00000      312.00    57823.00
   220   5372822.0     4579.04    11460.60    11460.60     6395.80     6395.80     1.00000      312.00    57823.00
   221   5398338.0     4564.09    11418.38    11418.38     6379.15     6379.15     1.00000      312.00    57823.00
   222   5423788.0     4549.10    11375.76    11375.76     6362.36     6362.36     1.00000      312.00    57823.00
   223   5449169.0     4534.08    11332.73    11332.73     6345.40     6345.40     1.00000      312.00    57823.00
   224   5474483.0     4519.02    11289.27    11289.27     6328.30     6328.30     1.00000      312.00    57823.00
   225   5499727.0     4503.93    11245.40    11245.40     6311.03     6311.03     1.00000      312.00    57823.00
   226   5524901.0     4488.80    11201.09    11201.09     6293.61     6293.61     1.00000      312.00    57823.00
   227   5550005.0     4473.64    11156.36    11156.36     6276.03     6276.03     1.00000      312.00    57823.00
   228   5575038.0     4458.44    11111.20    11111.20     6258.29     6258.29     1.00000      312.00    57823.00
   229   5600000.0     4443.20    11065.59    11065.59     6240.39     6240.39     1.00000      312.00    57823.00
   230   5600000.0     4443.20    11065.60    11065.60     6240.54     6240.54     1.00000      312.00    57823.00
   231   5604196.0     4440.64    11052.56    11052.56     6228.26     6228.26     1.00000      312.00    57823.00
   232   5628821.0     4425.52    10975.98    10975.98     6156.21     6156.21     1.00000      312.00    57823.00
   233   5653161.0     4410.50    10900.26    10900.26     6085.02     6085.02     1.00000      312.00    57823.00
   234   5677219.0     4395.57    10825.37    10825.37     6014.66     6014.66     1.00000      312.00    57823.00
   235   5701000.0     4380.74    10751.32    10751.32     5945.13     5945.13     1.00000      312.00    57823.00
   236   5701000.0     3992.12    10266.17    10266.17     5570.21     5570.21     1.00000      143.00    57823.00
   237   5704603.0     3991.28    10260.59    10260.59     5567.42     5567.42     1.00000      143.00    57823.00
   238   5726804.0     3986.11    10226.21    10226.21     5550.23     5550.23     1.00000      143.00    57823.00
   239   5748936.0     3980.96    10191.93    10191.93     5533.10     5533.10     1.00000      143.00    57823.00
   240   5771000.0     3975.82    10157.76    10157.76     5516.02     5516.02     1.00000      143.00    57823.00
   241   5771000.0     3975.82    10157.83    10157.83     5515.93     5515.93     1.00000      143.00    57823.00
   242   5784913.0     3958.29    10086.60    10086.60     5475.34     5475.34     1.00000      143.00    57823.00
   243   5806561.0     3931.00     9975.77     9975.77     5412.19     5412.19     1.00000      143.00    57823.00
   244   5827960.0     3904.03     9866.21     9866.21     5349.77     5349.77     1.00000      143.00    57823.00
   245   5849113.0     3877.37     9757.92     9757.92     5288.06     5288.06     1.00000      143.00    57823.00
   246   5870021.0     3851.02     9650.88     9650.88     5227.07     5227.07     1.00000      143.00    57823.00
   247   5890688.0     3824.97     9545.08     9545.08     5166.77     5166.77     1.00000      143.00    57823.00
   248   5911117.0     3799.22     9440.49     9440.49     5107.18     5107.18     1.00000      143.00    57823.00
   249   5931310.0     3773.77     9337.11     9337.11     5048.27     5048.27     1.00000      143.00    57823.00
   250   5951270.0     3748.61     9234.92     9234.92     4990.04     4990.04     1.00000      143.00    57823.00
   251   5971000.0     3723.75     9133.92     9133.92     4932.49     4932.49     1.00000      143.00    57823.00
   252   5971000.0     3543.26     8905.24     8905.24     4769.90     4769.90     1.00000      143.00    57823.00
   253   5981935.0     3547.02     8885.91     8885.91     4761.17     4775.07     1.00000      143.00    57823.00
   254   6000931.0     3553.54     8852.33     8852.33     4746.01     4784.05     1.00000      143.00    57823.00
   255   6019873.0     3560.05     8818.84     8818.84     4730.89     4793.00     1.00000      143.00    57823.00
   256   6038763.0     3566.54     8785.44     8785.44     4715.81     4801.92     1.00000      143.00    57823.00
   257   6057600.0     3573.00     8752.14     8752.14     4700.77     4810.83     1.00000      143.00    57823.00
   258   6071000.0     3577.61     8728.45     8728.45     4690.07     4817.16     1.00000      143.00    57823.00
   259   6072971.0     3577.45     8728.63     8728.63     4690.65     4817.75     1.00000      143.00    57823.00
   260   6074971.0     3577.07     8728.30     8728.30     4690.96     4818.08     1.00000      143.00    57823.00
   261   6076971.0     3576.49     8727.46     8727.46     4691.00     4818.11     1.00000      143.00    57823.00
   262   6078971.0     3575.70     8726.09     8726.09     4690.76     4817.86     1.00000      143.00    57823.00
   263   6080971.0     3574.69     8724.21     8724.21     4690.23     4817.32     1.00000      143.00    57823.00
   264   6082971.0     3573.47     8721.82     8721.82     4689.43     4816.50     1.00000      143.00    57823.00
   265   6084971.0     3572.04     8718.91     8718.91     4688.36     4815.40     1.00000      143.00    57823.00
   266   6086971.0     3570.40     8715.48     8715.48     4687.00     4814.01     1.00000      143.00    57823.00
   267   6088971.0     3568.55     8711.53     8711.53     4685.37     4812.33     1.00000      143.00    57823.00
   268   6090971.0     3566.49     8707.07     8707.07     4683.46     4810.37     1.00000      143.00    57823.00
   269   6092971.0     3564.21     8702.10     8702.10     4681.27     4808.12     1.00000      143.00    57823.00
   270   6094971.0     3561.73     8696.61     8696.61     4678.80     4805.58     1.00000      143.00    57823.00
   271   6096971.0     3559.03     8690.60     8690.60     4676.06     4802.77     1.00000      143.00    57823.00
   272   6098971.0     3556.13     8684.08     8684.08     4673.04     4799.66     1.00000      143.00    57823.00
   273   6100971.0     3553.01     8677.04     8677.04     4669.74     4796.27     1.00000      143.00    57823.00
   274   6102971.0     3549.69     8669.49     8669.49     4666.16     4792.60     1.00000      143.00    57823.00
   275   6104971.0     3546.15     8661.43     8661.43     4662.31     4788.64     1.00000      143.00    57823.00
   276   6106971.0     3542.41     8652.84     8652.84     4658.17     4784.39     1.00000      143.00    57823.00
   277   6108971.0     3538.45     8643.75     8643.75     4653.76     4779.86     1.00000      143.00    57823.00
   278   6110971.0     3534.28     8634.14     8634.14     4649.07     4775.05     1.00000      143.00    57823.00
   279   6112971.0     3529.91     8623.92     8623.92     4644.11     4769.95     1.00000      143.00    57823.00
   280   6114971.0     3525.32     8613.19     8613.19     4638.86     4764.56     1.00000      143.00    57823.00
   281   6116971.0     3520.53     8601.95     8601.95     4633.34     4758.89     1.00000      143.00    57823.00
   282   6118971.0     3515.53     8590.19     8590.19     4627.54     4752.93     1.00000      143.00    57823.00
   283   6120971.0     3510.31     8577.92     8577.92     4621.46     4746.69     1.00000      143.00    57823.00
   284   6122971.0     3504.89     8565.14     8565.14     4615.11     4740.16     1.00000      143.00    57823.00
   285   6124971.0     3499.26     8551.84     8551.84     4608.47     4733.35     1.00000      143.00    57823.00
   286   6126971.0     3493.42     8538.03     8538.03     4601.56     4726.25     1.00000      143.00    57823.00
   287   6128971.0     3487.37     8523.71     8523.71     4594.37     4718.87     1.00000      143.00    57823.00
   288   6130971.0     3481.11     8508.87     8508.87     4586.91     4711.20     1.00000      143.00    57823.00
